,hero_heads_up,hero_stack_ratio
442,True,3.1307189542483695
443,True,4.415730337078651
444,True,1.536842105263156
445,True,0.6111111111111106
446,True,4.272727272727267
447,True,0.23404255319148973
448,True,463.0000000000071
449,True,1.317307692307685
450,True,1.3173076923076892
451,True,1.1682242990654177
452,False,
453,True,4.415730337078647
454,True,463.00000000001313
455,True,2.012987012987013
456,True,1.0775862068965507
457,True,1.0775862068965514
458,True,3.504672897196259
459,False,
460,True,2.37062937062937
461,True,0.9279999999999964
462,True,0.10396039603960365
463,True,1.0775862068965514
464,True,0.46710526315789636
465,True,1.0775862068965516
466,True,0.3515151515151525
467,False,
468,True,0.20224719101123048
469,True,0.31818181818181884
470,True,1.9753086419753088
471,True,0.318181818181818
472,True,0.3647058823529415
473,True,0.7918215613382892
474,True,2.7419354838709658
475,True,0.5782312925170071
476,False,
477,True,2.8253968253968247
478,False,
479,True,0.24999999999999853
480,True,1.6418604651162785
481,True,2.6515151515151523
482,True,0.6174496644295288
483,False,
484,True,2.2133333333333325
485,False,
486,True,5.358974358974342
487,True,2.347222222222219
488,True,0.920318725099601
489,False,
490,True,1.077586206896551
491,True,3.6399999999999846
492,True,2.2133333333333334
493,True,5.788732394366193
494,True,1.0686695278969955
495,False,
496,True,2.3472222222222205
497,True,47.19999999999928
498,True,2.8253968253968242
499,True,1.8023255813953438
500,True,7.41509433962262
501,True,1.4491978609625669
502,True,2.3529411764704857
503,True,1.0775862068965516
504,True,4.415730337078646
505,True,0.6872727272727278
506,True,15.62068965517235
507,False,
508,True,2.347222222222222
509,True,2.267605633802809
510,True,3.0504201680672143
511,True,1.144230769230768
512,True,1.5494505494505462
513,True,0.991803278688524
514,True,1.2408376963350662
515,True,3.0847457627118637
516,False,
517,True,0.5221843003412968
518,True,2.8559999999999937
519,True,1.132743362831858
520,True,6.095890410958868
521,True,4.900000000000014
522,True,5.694444444444436
523,True,1.2307692307692293
524,True,1.5355191256830623
525,False,
526,True,0.3433962264151058
527,True,0.8559999999999991
528,True,0.7985074626865661
529,True,1.367346938775508
530,True,4.415730337078651
531,True,1.2418604651162775
532,True,4.878048780487804
533,True,0.9203187250996002
534,True,0.5313531353135299
535,True,0.5486111111111114
536,True,0.4409937888198746
537,True,1.2418604651162777
538,True,3.0847457627118575
539,True,1.3553299492385784
540,False,
541,True,1.1864406779661014
542,True,1.6927374301675997
543,True,1.4946236559139736
544,True,1.791208791208786
545,True,0.8396946564885489
546,True,0.4041095890410947
547,True,0.8396946564885492
548,True,3.5609756097559955
549,True,27.352941176470228
550,True,0.43870967741935535
551,True,0.24581005586592172
552,True,3.462962962962958
553,True,1.0775862068965512
554,True,0.8396946564885482
555,True,0.23404255319148876
556,True,1.128440366972468
557,True,115.99999999999098
558,True,
559,True,0.23076923076923095
560,True,1.4421052631578937
561,True,0.28342245989304937
562,True,2.5441176470588185
563,False,
564,True,1.0775862068965503
565,False,
566,False,
567,True,0.18933333333332855
568,True,0.9016393442622951
569,True,0.9279999999999979
570,True,0.009433962264148256
571,False,
572,True,0.6630824372759833
573,True,3.7722772277227685
574,True,1.536842105263156
575,True,2.012499999999996
576,False,
577,True,1.4343434343434347
578,True,0.0543735224586277
579,True,1.521739130434782
580,True,2.0379746835443
581,False,
582,True,2.347222222222222
583,False,
584,False,
585,True,0.3647058823529395
586,False,
587,True,0.3463687150837967
588,True,1.241545893719801
589,True,4.415730337078651
590,True,0.027586206896551176
591,True,1.2412060301507537
592,True,1.1682242990654172
593,True,4.4157303370786485
594,False,
595,True,0.44099378881987533
596,True,4.878048780487786
597,True,0.14285714285714254
598,False,
599,True,3.0847457627118624
600,True,0.9279999999999996
601,False,
602,True,1.8255813953488351
603,True,0.142857142857143
604,True,3.7722772277227703
605,False,
606,False,
607,False,
608,True,3.1682242990653813
609,True,1.2523364485981299
610,True,1.0775862068965494
611,True,1.1327433628318568
612,True,1.410810810810801
613,True,2.855999999999983
614,True,0.8559999999999994
615,False,
616,True,1.0686695278969955
617,True,0.12621359223300993
618,True,1.0686695278969935
619,False,
620,True,12.806451612903254
621,True,3.8199999999999963
622,False,
623,True,2.651515151515152
624,True,2.8253968253968247
625,True,0.8295454545454418
626,True,0.20286396181384317
627,True,8.09433962264148
628,False,
629,True,27.35294117647023
630,True,2.347222222222222
631,True,2.8782608695652088
632,True,0.08252427184466025
633,True,0.7378277153558043
634,False,
635,False,
636,True,0.2888888888888896
637,False,
638,False,
639,True,2.682539682539682
640,True,0.3291925465838532
641,True,1.6927374301676
642,True,1.0686695278969953
643,False,
644,True,0.9754098360655716
645,True,1.566844919786091
646,True,0.9475982532750961
647,True,4.807228915662642
648,False,
649,True,0.9754098360655715
650,True,1.230769230769229
651,False,
652,True,1.7525773195876289
653,True,0.6630824372759847
654,True,
655,True,
656,True,0.9279999999999993
657,True,2.531645569620243
658,True,1.3350785340314144
659,False,
660,True,2.855999999999983
661,True,1.4108527131782942
662,False,
663,True,0.97540983606557
664,True,0.8267716535433072
665,True,1.6749999999999987
666,True,0.721428571428571
667,True,2.8253968253968242
668,True,1.2523364485981303
669,True,0.9999999999999953
670,True,2.5968992248061866
671,True,6.531249999999976
672,True,0.4590747330960836
673,True,0.12354312354312288
674,True,2.037037037037013
675,True,0.7022900763358755
676,True,3.2280701754385963
677,True,0.7540983606557359
678,True,2.0972222222222183
679,False,
680,True,0.007058823529411135
681,False,
682,True,0.38509316770186386
683,True,3.1801801801801886
684,True,0.8396946564885491
685,True,0.9600000000000014
686,False,
687,True,42.81818181818134
688,True,0.18066157760814197
689,True,0.9279999999999986
690,True,8.094339622641495
691,True,1.1327433628318553
692,False,
693,True,4.0377358490566
694,True,3.0847457627118575
695,False,
696,True,1.7977528089887636
697,True,2.370629370629369
698,False,
699,True,4.878048780487796
700,True,0.7395833333333324
701,True,1.0775862068965478
702,True,1.5578947368421054
703,True,0.06698564593301418
704,False,
705,True,2.097222222222227
