hand1_str,hand2_str,equity_hand1,equity_hand2
AKs,Q6s,0.6482,0.3518
AKs,Q5s,0.653,0.347
AKs,Q4s,0.69325,0.30674999999999997
AKs,Q3s,0.70195,0.29805000000000004
AKs,Q2s,0.696,0.30400000000000005
AKs,AJo,0.75225,0.24775000000000003
AKs,KJo,0.751,0.249
AKs,QJo,0.65785,0.34214999999999995
AKs,JJ,0.46405,0.5359499999999999
AKs,JTs,0.60755,0.39244999999999997
AKs,J9s,0.64195,0.35805
AKs,J8s,0.6679,0.33209999999999995
AKs,J7s,0.6364,0.36360000000000003
AKs,J6s,0.6826,0.3174
AKs,J5s,0.6896,0.3104
AKs,J4s,0.65125,0.34875
AKs,J3s,0.6693,0.3307
AKs,J2s,0.65995,0.34004999999999996
AKs,ATo,0.7444,0.25560000000000005
AKs,KTo,0.74855,0.25144999999999995
AKs,QTo,0.66725,0.33275
AKs,JTo,0.65215,0.34785
AKs,TT,0.4621,0.5379
AKs,T9s,0.60825,0.39175000000000004
AKs,T8s,0.6525,0.34750000000000003
AKs,T7s,0.6274,0.37260000000000004
AKs,T6s,0.6396,0.36040000000000005
AKs,T5s,0.64675,0.35324999999999995
AKs,T4s,0.63695,0.36305
AKs,T3s,0.65275,0.34724999999999995
AKs,T2s,0.65725,0.34275
AKs,A9o,0.75565,0.24434999999999996
AKs,K9o,0.77565,0.22435000000000005
AKs,Q9o,0.66705,0.33294999999999997
AKs,J9o,0.67595,0.32404999999999995
AKs,T9o,0.64455,0.35545000000000004
AKs,99,0.4726,0.5274
AKs,98s,0.6296,0.37039999999999995
AKs,97s,0.61655,0.38344999999999996
AKs,96s,0.65645,0.34355
AKs,95s,0.6378,0.36219999999999997
AKs,94s,0.68725,0.31275
AKs,93s,0.6783,0.3217
AKs,92s,0.6519,0.34809999999999997
AKs,A8o,0.74595,0.25405
AKs,K8o,0.7681,0.2319
AKs,Q8o,0.68175,0.31825000000000003
AKs,J8o,0.6768,0.32320000000000004
AKs,T8o,0.6581,0.3419
AKs,98o,0.64895,0.35105
AKs,88,0.47195,0.52805
AKs,87s,0.60665,0.39335
AKs,86s,0.6206,0.37939999999999996
AKs,85s,0.62855,0.37144999999999995
AKs,84s,0.6464,0.3536
AKs,83s,0.6576,0.34240000000000004
AKs,82s,0.65275,0.34724999999999995
AKs,A7o,0.749,0.251
AKs,K7o,0.76775,0.23224999999999996
AKs,Q7o,0.68905,0.31094999999999995
AKs,J7o,0.67125,0.32875
